Location,Number,Category,,,,
CA OR*,4-3300,Cambridge OR/Pre-post,,,,
CA OR PP,4-3380,Cambridge OR/Pre-post,,,,
CA IR Pre-post,4-4846,Cambridge OR/Pre-post,,,,
CA OR Pharmacy,4-3350,Cambridge OR/Pre-post,,,,
,,,,,,
CA pharmacy,4-3170,CA Pharmacy,,,,
CAIV Pharmacist,4-3166,CA Pharmacy,,,,
CA Outpatient Pharmacy,4-3150,CA Pharmacy,,,,
,,,,,,
Westwood Pharmacy,8-7747,Miscellaneous,,,,
Marillac Pharmacy,4-3839,Miscellaneous,,,,
Stawberry Hill Pharmacy,4-3720,Miscellaneous,,,,
Rehab Pharmacy,4-1100,Miscellaneous,,,,
Indian Creek Pharmacy,4-1843,Miscellaneous,,,,
Investigational Pharmacy,8-2314,Miscellaneous,,,,
Olathe Pharmacy,913-791-4287,Miscellaneous,,,,
Lester-Purchasing,8-2308,Miscellaneous,,,,
Marc-Purchasing,8-2311,Miscellaneous,,,,
Mirriam-Purchasing,4-3178,Miscellaneous,,,,
Great Bend ED,620-791-6809,Miscellaneous,,,,
Great Bend Med Surg,620-791-6802,Miscellaneous,,,,
,,,,,,
Bell OR Pharmacy,8-4155,Command Center,,,,
Cambridge Pharmacy,4-3170,Command Center,,,,
Cambridge OR Pharmacy,4-3350,Command Center,,,,
CVOR,8-3536,Command Center,,,,
ED Pharmacist,8-6565,Command Center,,,,
Environmental Services,4-1500,Command Center,,,,
Heart Center Pharmacy,8-3812,Command Center,,,,
Investigational,8-2314,Command Center,,,,
IT Help Desk,5-9999,Command Center,,,,
IV Room,8-2320,Command Center,,,,
Lester- Purchasing,8-2308,Command Center,,,,
Mark- Purchasing,8-2311,Command Center,,,,
Mirriam-Cambridge Purchasing,4-3178,Command Center,,,,
Main Inpatient Pharmacy (Bell),8-2810,Command Center,,,,
Marillac Pharmacy,4-3839,Command Center,,,,
Controlled Substance Room,4-0443,Command Center,,,,
Outpatient Pharmacy,8-2361,Command Center,,,,
Pre-Pack,8-2313,Command Center,,,,
Rehab Pharmacy,4-1100,Command Center,,,,
Spine Center,8-7444 or 8-7422,Command Center,,,,
Strawberry Hill Pharmacy,4-3720,Command Center,,,,
Tube Station Support Before 1630,8-3491,Command Center,,,,
Tube Station Support After 1630,8-1273,Command Center,,,,
Our Fax Number,913-588-8858,Command Center,,,,
